序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路類別,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,當事者區分(類別),車輛用途,當事者行動狀態,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
11,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,01,31,臺中市,沙鹿區,0,0,0,5,,,,,,,,,,,,,,,23,,,,B03,,,02,,,59,,1,06,04,120.570481,24.235827,4
12,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,02,05,臺中市,清水區,0,1,0,5,6,13,14,1,4,4,6,6,4,4,01,4,4,1,17,2,01,3,B03,7,09,02,01,,59,59,1,12,04,120.568202,24.272053,2
13,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,02,44,臺中市,太平區,0,0,0,5,,,,,,,,,,,,,,,17,,,,,,,,,,119,,1,,,120.720775,24.122511,3
14,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,03,05,臺中市,北區,1,0,0,5,6,04,07,1,4,4,6,6,2,1,08,3,4,2,03,1,09,6,H01,8,16,10,17,,95,95,1,13,05,120.676995,24.155812,1
15,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,03,09,臺中市,北區,0,1,0,5,6,13,09,1,4,4,6,6,4,4,09,4,5,2,17,2,09,5,C03,7,09,05,11,,59,59,1,13,04,120.685489,24.150771,2
16,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,03,38,臺中市,西屯區,0,0,0,5,,,,,,,,,,,,,,,,,,,B03,,,02,,,84,,1,12,04,120.635945,24.182121,4
17,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,03,55,臺中市,南屯區,0,2,0,5,6,03,01,1,4,4,6,6,1,1,10,5,5,2,13,4,11,3,B12,7,09,02,01,,59,59,1,06,04,120.637365,24.119729,2
18,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,05,45,臺中市,東區,0,2,0,5,6,13,08,1,4,4,6,6,4,4,05,5,4,2,17,2,09,1,C03,7,09,02,12,,08,08,1,13,04,120.701785,24.138779,2
19,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,05,51,臺中市,東區,0,1,0,5,6,05,02,1,4,4,6,6,1,1,10,5,5,2,18,2,09,1,C03,7,05,02,12,,84,84,1,06,04,120.706060,24.148213,2
20,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,06,20,臺中市,東區,0,0,0,5,,,,,,,,,,,,,,,,,,,B12,,,01,,,84,,1,12,04,120.698872,24.145169,3
21,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,06,42,臺中市,北屯區,0,1,0,5,6,04,02,1,4,4,6,6,2,1,10,5,5,2,18,2,07,1,C03,7,09,02,14,,84,84,1,12,04,120.690629,24.172802,2
22,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,06,49,臺中市,北屯區,0,0,0,6,,,,,,,,,,,,,,,17,,,,F03,,,02,,,82,,1,12,04,120.744949,24.188107,3
23,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,08,臺中市,大里區,0,1,0,7,6,04,02,1,5,4,6,6,4,4,04,3,5,1,17,3,10,6,F01,7,09,02,13,,12,12,1,04,04,120.700139,24.098397,2
24,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,15,臺中市,大甲區,0,1,0,7,6,13,09,1,5,4,6,6,4,4,05,5,5,1,16,3,10,3,B03,7,11,02,05,,45,45,1,12,04,120.683379,24.363107,2
25,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,18,臺中市,西區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,01,,,84,,1,12,04,120.662609,24.155678,3
26,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,19,臺中市,東勢區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B03,,,01,,,50,,1,13,04,120.829337,24.251616,3
27,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,21,臺中市,烏日區,0,2,0,7,6,03,01,1,5,4,6,6,4,4,05,5,5,1,17,3,10,1,C03,7,09,02,12,,84,84,1,06,04,120.633308,24.071854,2
28,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,22,臺中市,清水區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,01,,,15,,1,06,04,120.576516,24.302801,3
29,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,28,臺中市,沙鹿區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,02,,,51,51,1,12,04,120.569664,24.199596,3
30,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,30,臺中市,清水區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B03,,,02,,,59,,1,12,04,120.575183,24.279290,3
31,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,32,臺中市,北屯區,0,1,0,7,6,04,01,1,5,4,6,6,4,4,10,5,5,2,17,2,09,1,C03,7,09,02,11,,12,12,1,12,04,120.689460,24.178871,2
32,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,33,臺中市,大里區,0,0,0,6,6,04,02,1,4,4,6,6,1,1,01,2,4,1,12,,,,B03,,,02,,,35,,1,13,04,120.674563,24.102591,3
33,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,36,臺中市,沙鹿區,0,1,0,7,6,13,09,1,5,4,6,6,4,4,01,4,5,1,13,2,09,2,C03,7,09,02,11,,07,07,1,09,04,120.561714,24.240915,2
34,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,38,臺中市,大里區,0,1,0,7,6,04,01,1,5,4,6,6,4,4,10,5,5,2,15,2,09,2,C03,7,09,02,11,,15,15,1,06,04,120.691041,24.087477,2
35,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,39,臺中市,西屯區,0,1,0,7,6,03,01,1,5,4,6,6,1,1,01,3,5,2,18,2,09,1,C03,7,09,02,12,,85,85,1,12,04,120.603397,24.185609,2
36,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,43,臺中市,南屯區,0,1,0,5,6,04,01,1,4,4,6,6,2,1,01,5,5,2,17,3,10,3,B03,7,06,02,16,,48,48,1,06,04,120.634098,24.158250,2
37,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,43,臺中市,北屯區,0,1,0,7,6,04,01,1,5,4,6,6,2,1,10,5,5,2,13,2,09,1,C03,7,09,02,11,,07,07,1,04,04,120.707714,24.182369,2
38,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,47,臺中市,霧峰區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B03,,,02,,,51,,1,12,04,120.700169,24.064828,3
39,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,48,臺中市,太平區,0,1,0,6,6,03,01,1,5,4,6,6,1,1,10,5,5,2,16,2,09,1,C03,7,05,02,12,,11,11,1,06,04,120.723313,24.122850,2
40,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,49,臺中市,南區,0,1,0,6,6,04,01,1,5,4,6,6,1,1,10,5,5,2,16,2,09,2,C03,7,06,02,12,,11,11,1,04,04,120.668671,24.114552,2
41,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,07,53,臺中市,西區,0,1,0,6,6,03,01,1,5,4,6,6,4,4,10,5,5,2,16,3,10,5,B12,7,05,02,02,,47,47,1,12,04,120.665273,24.147495,2
42,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,08,00,臺中市,東區,0,2,0,7,6,04,01,1,5,4,6,6,1,1,10,5,5,2,17,2,09,1,C03,7,06,02,11,,11,11,1,12,04,120.692395,24.139415,2
43,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,08,03,臺中市,太平區,0,1,0,7,6,13,08,1,5,4,6,6,4,4,05,4,4,2,18,2,09,2,C03,7,09,02,14,,87,87,1,12,04,120.718418,24.116754,2
44,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,08,04,臺中市,豐原區,0,1,0,7,6,04,01,1,5,4,6,6,1,1,10,5,5,2,13,3,10,5,B03,7,05,02,08,,59,59,1,08,04,120.718948,24.243416,2
45,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,08,09,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,14,,,,B12,,,02,,,49,,1,12,04,120.586812,24.177302,3
46,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,08,11,臺中市,太平區,0,0,0,7,,,,,,,,,,,,,,,13,,,,C03,,,01,,,07,,1,13,04,120.717366,24.148533,3
47,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,08,16,臺中市,大里區,0,0,0,6,6,04,02,1,4,4,6,6,1,1,01,2,4,1,12,,,,B03,,,02,,,35,,1,13,04,120.672611,24.102238,3
48,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,08,24,臺中市,南屯區,0,0,0,7,,,,,,,,,,,,,,,30,,,,B03,,,01,,,49,,1,13,04,120.616281,24.153314,3
49,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,08,24,臺中市,大里區,0,0,0,7,,,,,,,,,,,,,,,16,,,,B03,,,02,,,51,51,1,13,04,120.700032,24.104964,3
50,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,08,25,臺中市,沙鹿區,0,0,0,7,,,,,,,,,,,,,,,,,,,B02,,,01,,,42,,1,06,04,120.576585,24.226517,3
51,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,08,29,臺中市,東區,0,2,0,6,6,13,09,1,5,4,6,6,4,4,09,5,5,2,16,2,08,1,C03,7,11,02,13,,45,45,1,12,04,120.691962,24.134745,2
52,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,08,49,臺中市,西屯區,0,1,0,7,6,13,09,1,5,4,6,6,2,1,01,4,5,1,12,2,09,1,C03,7,08,02,14,,40,40,1,12,04,120.664145,24.172631,2
53,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,08,52,臺中市,東區,0,1,0,7,6,04,01,1,5,4,6,6,1,1,10,5,5,2,17,2,09,1,C03,7,09,02,12,,34,34,1,12,04,120.686529,24.134444,2
54,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,08,54,臺中市,南屯區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,01,,,07,,1,11,04,120.612140,24.137953,3
55,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,00,臺中市,清水區,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,119,,1,,,120.580634,24.279840,3
56,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,04,臺中市,大甲區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,01,,,59,,1,12,05,120.623971,24.345693,3
57,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,09,臺中市,神岡區,0,1,0,7,6,03,01,1,5,4,6,6,1,1,10,5,5,2,17,3,10,1,C03,7,05,02,13,,07,07,1,12,04,120.693184,24.248444,2
58,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,16,臺中市,潭子區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,02,,,08,,1,13,04,120.704710,24.225458,3
59,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,28,臺中市,西區,0,0,0,7,,,,,,,,,,,,,,,,,,,C03,,,02,,,84,,1,13,04,120.672733,24.146967,4
60,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,30,臺中市,南區,0,0,0,7,6,03,01,1,5,4,6,6,3,1,10,5,5,2,17,3,10,3,B03,7,02,02,07,,49,49,1,12,04,120.660499,24.113829,3
61,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,30,臺中市,梧棲區,0,0,0,7,,,,,,,,,,,,,,,16,,,,B12,,,02,,,02,,1,06,04,120.543965,24.246943,3
62,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,36,臺中市,西區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B01,,,02,,,11,,1,12,04,120.662609,24.155678,3
63,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,42,臺中市,西區,0,2,0,7,6,05,01,1,5,4,6,6,1,1,10,5,5,2,16,2,09,3,B03,7,06,02,02,,11,20,1,12,04,120.665649,24.135153,2
64,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,44,臺中市,梧棲區,0,1,0,7,6,04,01,1,5,4,6,6,4,4,10,5,5,2,15,2,09,2,C03,7,09,02,11,,12,12,1,06,04,120.535718,24.244472,2
65,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,48,臺中市,北屯區,0,1,0,6,6,03,01,1,5,4,6,6,4,4,10,5,5,2,17,2,09,6,F01,7,06,02,14,,11,11,1,12,04,120.682461,24.190187,2
66,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,50,臺中市,大雅區,0,1,0,6,6,04,01,1,5,4,6,6,1,1,05,5,5,1,17,2,09,1,C03,7,06,02,14,,20,20,1,13,04,120.656598,24.226077,2
67,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,51,臺中市,大雅區,0,0,0,6,,,,,,,,,,,,,,,17,,,,B03,,,02,,,08,,1,12,04,120.650040,24.221356,3
68,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,55,臺中市,大雅區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,01,,,59,,1,12,04,120.649783,24.212054,4
69,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,55,臺中市,西區,0,1,0,7,6,03,09,1,5,4,6,6,4,4,10,5,5,2,17,2,09,1,C03,7,01,02,12,,51,51,1,12,04,120.664542,24.132112,2
70,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,09,56,臺中市,新社區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B12,,,02,,,02,,1,13,04,120.806846,24.255865,3
71,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,00,臺中市,南屯區,0,0,0,7,,,,,,,,,,,,,,,13,,,,B13,,,01,,,59,,1,06,04,120.640632,24.134693,3
72,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,03,臺中市,烏日區,0,3,0,7,6,13,13,1,5,4,6,6,4,4,10,5,5,2,13,2,06,1,C03,7,09,02,11,,07,07,1,12,04,120.605916,24.117154,2
73,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,07,臺中市,大雅區,0,0,0,7,,,,,,,,,,,,,,,,,,,B01,,,02,,,84,84,1,13,04,120.644877,24.204076,3
74,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,08,臺中市,東區,0,0,0,6,,,,,,,,,,,,,,,17,,,,B11,,,02,,,78,,1,12,04,120.697046,24.146988,3
75,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,10,臺中市,大雅區,0,1,0,7,6,04,02,1,5,4,6,6,4,4,05,5,5,1,13,2,09,1,C03,7,09,02,11,,07,07,1,12,04,120.651879,24.225375,2
76,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,11,臺中市,東勢區,0,0,0,7,,,,,,,,,,,,,,,13,,,,B03,,,01,,,07,,1,12,04,120.823202,24.268693,3
77,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,19,臺中市,西屯區,0,1,0,7,6,03,01,1,5,4,6,6,4,4,04,4,5,2,16,3,10,5,C03,7,06,02,11,,13,13,1,13,04,120.664765,24.175880,2
78,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,32,臺中市,東區,0,1,0,6,6,04,01,1,5,4,6,6,1,1,10,5,5,2,17,3,10,3,B03,7,06,02,06,,48,48,1,12,04,120.699913,24.142778,2
79,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,33,臺中市,北屯區,0,0,0,7,,,,,,,,,,,,,,,14,,,,B03,,,01,,,49,,1,12,04,120.719093,24.174096,3
80,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,34,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,17,3,10,3,B03,7,09,01,01,,07,07,1,13,04,120.658343,24.194911,3
81,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,35,臺中市,太平區,0,1,0,6,6,04,01,1,5,4,6,6,1,1,10,5,5,2,17,3,10,1,C03,7,11,02,14,,45,36,1,06,04,120.717918,24.128800,2
82,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,35,臺中市,豐原區,0,1,0,7,6,05,01,1,5,4,6,6,1,1,05,5,5,1,03,3,10,5,B03,7,11,02,01,,23,23,1,13,04,120.721575,24.248965,2
83,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,45,臺中市,清水區,0,1,0,7,6,13,08,1,5,4,6,6,4,4,01,4,4,2,17,2,09,2,C03,7,09,02,12,,84,84,1,12,04,120.575694,24.270104,2
84,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,47,臺中市,西屯區,0,1,0,7,6,13,08,1,5,4,6,6,4,4,01,3,1,2,17,2,09,1,C03,7,09,02,11,,07,07,1,12,04,120.644616,24.163700,2
85,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,52,臺中市,霧峰區,0,0,0,5,,,,,,,,,,,,,,,14,,,,B03,,,02,,,49,,1,06,04,120.692740,24.046676,3
86,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,53,臺中市,西區,0,1,0,6,6,05,01,1,5,4,6,6,1,1,10,5,5,2,16,3,10,5,B03,7,05,02,02,,26,26,1,12,04,120.668775,24.132060,2
87,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,53,臺中市,南屯區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,02,,,08,,1,06,04,120.648431,24.152223,3
88,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,53,臺中市,西屯區,0,2,0,6,6,13,09,1,5,4,6,6,4,4,01,4,5,2,13,2,09,1,C03,7,09,02,11,,59,59,1,12,04,120.664117,24.172732,2
89,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,58,臺中市,西區,0,1,0,7,6,05,01,1,5,4,6,6,1,1,10,5,5,2,17,2,09,5,C04,7,06,02,11,,11,11,1,12,04,120.669000,24.144703,2
90,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,58,臺中市,清水區,0,1,0,6,6,04,01,1,5,4,6,6,4,4,10,5,5,2,15,2,09,1,C03,7,09,02,12,,12,12,1,06,04,120.577923,24.269295,2
91,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,10,59,臺中市,龍井區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B03,,,01,,,49,,1,06,04,120.547343,24.182255,3
92,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,00,臺中市,南區,0,2,0,7,6,03,01,1,5,4,6,6,1,1,10,5,5,2,16,2,09,2,C03,7,06,02,11,,48,48,1,12,04,120.660486,24.113207,2
93,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,01,臺中市,東區,0,1,0,7,6,04,01,1,5,4,6,6,1,1,10,5,5,2,17,2,09,1,C03,7,06,01,12,,48,48,1,12,04,120.694177,24.138888,2
94,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,05,臺中市,南區,0,0,0,7,6,18,24,1,5,4,6,6,4,4,01,5,5,2,17,3,10,1,C03,7,02,01,13,,49,49,1,12,04,120.659609,24.111471,3
95,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,11,臺中市,大里區,1,0,0,7,6,04,02,1,5,4,6,6,4,4,10,5,5,2,11,3,10,3,B12,7,09,02,01,,41,41,1,12,04,120.709899,24.100954,1
96,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,14,臺中市,北區,0,0,0,7,6,05,01,1,5,4,6,6,1,1,02,4,5,2,12,3,10,1,C03,7,06,01,12,,39,39,1,12,02,120.686121,24.154795,3
97,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,14,臺中市,西屯區,0,0,0,6,,,,,,,,,,,,,,,13,,,,B03,,,01,,,07,,1,12,04,120.646543,24.164391,3
98,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,16,臺中市,東區,0,2,0,6,6,13,09,1,5,4,6,6,4,4,09,5,5,2,16,3,10,3,B03,7,01,02,08,,51,51,1,12,04,120.706605,24.143931,2
99,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,17,臺中市,后里區,0,1,0,6,6,03,02,1,5,4,6,6,4,4,03,4,4,1,17,3,10,3,B03,7,01,02,16,,51,51,1,06,04,120.721644,24.306153,2
100,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,19,臺中市,西屯區,0,2,0,7,6,13,09,1,5,4,6,6,1,1,05,5,5,2,17,2,09,1,C03,7,09,02,11,12,84,84,1,12,04,120.659124,24.160181,2
101,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,21,臺中市,北區,0,1,0,7,6,04,01,1,5,4,6,6,2,1,10,5,5,2,18,2,09,1,C03,7,09,02,12,,84,84,1,13,04,120.692251,24.161431,2
102,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,24,臺中市,大雅區,0,2,0,6,6,04,02,1,5,4,6,6,3,1,05,5,5,1,17,2,08,1,C03,7,09,02,14,,08,07,1,13,04,120.652656,24.226891,2
103,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,28,臺中市,北區,0,3,0,7,6,13,08,1,5,4,6,6,4,4,03,2,4,2,13,2,09,5,C03,7,09,02,11,,07,07,1,13,04,120.681918,24.153835,2
104,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,29,臺中市,西屯區,0,2,0,7,6,13,08,1,5,4,6,6,2,1,01,5,1,2,13,2,09,1,C03,7,09,02,11,,07,07,1,06,04,120.615151,24.182946,2
105,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,30,臺中市,清水區,0,1,0,7,6,03,01,1,5,4,6,6,4,4,05,5,5,1,03,4,11,2,C03,7,09,02,11,,59,59,1,12,02,120.573418,24.270514,2
106,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,31,臺中市,西屯區,0,0,0,6,,,,,,,,,,,,,,,,,,,B12,,,02,,,51,51,1,13,04,120.640892,24.167288,3
107,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,35,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,16,,,,B03,,,01,,,40,,1,12,04,120.629193,24.163676,3
108,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,35,臺中市,烏日區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B03,,,01,,,51,51,1,12,04,120.622124,24.106099,3
109,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,40,臺中市,西屯區,0,0,0,7,,,,,,,,,,,,,,,,,,,B03,,,01,,,08,,1,12,04,120.632822,24.182565,3
110,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,44,臺中市,南屯區,0,0,0,7,,,,,,,,,,,,,,,14,,,,B03,,,01,,,49,,1,13,04,120.652445,24.144826,3
111,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,45,臺中市,西屯區,0,0,0,6,,,,,,,,,,,,,,,13,,,,B03,,,01,,,84,84,1,12,04,120.651025,24.164980,3
112,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,45,臺中市,豐原區,0,0,0,7,,,,,,,,,,,,,,,16,,,,C03,,,02,,,14,,1,12,04,120.730579,24.242559,3
113,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,46,臺中市,豐原區,0,1,0,6,6,04,09,1,5,4,6,6,2,1,10,5,5,2,12,2,08,5,C03,7,09,02,11,,07,07,1,12,04,120.718135,24.258921,2
114,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,49,臺中市,豐原區,0,0,0,7,,,,,,,,,,,,,,,17,,,,B03,,,02,,,51,,1,13,04,120.720437,24.264753,3
115,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,52,臺中市,霧峰區,0,1,0,7,6,03,02,1,5,4,6,6,4,4,04,3,5,1,17,2,09,2,C03,7,09,02,11,,07,07,1,06,04,120.697129,24.055436,2
116,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,52,臺中市,太平區,0,0,0,7,,,,,,,,,,,,,,,13,,,,B03,,,02,,,07,,1,13,04,120.710725,24.141557,3
117,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,54,臺中市,豐原區,0,0,0,7,,,,,,,,,,,,,,,13,,,,B03,,,02,,,84,,1,12,04,120.715077,24.244903,3
118,66000,387130000C,(04)23274275,(04)23288582,2024,05,01,11,58,臺中市,中區,0,1,0,7,6,04,01,1,4,4,6,6,2,1,10,5,5,2,16,2,09,1,C03,7,15,01,12,,04,04,1,13,04,120.679881,24.146232,2
